Release Date,Movie Title,Production Budget,Domestic Gross,Worldwide Gross
10/26/2012,Skyfall,200000000,304360277,1110526981
12/11/2012,The Hobbit: An Unexpected Journey,200000000,303003568,1014938545
6/21/2013,Monsters University,200000000,268488329,743455810
3/8/2013,Oz the Great and Powerful,200000000,234770996,490359051
5/21/2014,X-Men: Days of Future Past,200000000,233921534,747862775
4/16/2014,The Amazing Spider-Man 2,200000000,202853933,708996336
6/23/2011,Cars 2,200000000,191450875,560155383
7/7/2021,Black Widow,200000000,183651655,375620803
7/31/2019,Fast & Furious Presents: Hobbs & Shaw,200000000,173956935,760381706
12/17/2010,Tron: Legacy,200000000,172062763,399866199
11/12/2009,2012,200000000,166112167,757677748
11/14/2018,Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,651280475
11/3/2021,Eternals,200000000,157435106,383781214
5/21/2009,Terminator Salvation,200000000,125322469,365491792
6/17/2011,Green Lantern,200000000,116601172,219535492
5/28/2010,Prince of Persia: Sands of Time,200000000,90759676,336359676
6/5/2019,Dark Phoenix,200000000,65845974,246356895
2/28/2020,Onward,200000000,61555145,133317030
12/16/2020,Wonder Woman 1984,200000000,46586274,166145470
9/4/2020,Mulan,200000000,0,69965374
6/29/2011,Transformers: Dark of the Moon,195000000,352390543,1123794079
6/2/2017,The Mummy,195000000,80101125,409953905
2/27/2013,Jack the Giant Slayer,195000000,65187603,197687603
4/1/2015,Furious 7,190000000,353007020,1516881526
5/16/2013,Star Trek Into Darkness,190000000,228778661,467381584
6/19/2013,World War Z,190000000,202706711,531861650
5/10/2013,The Great Gatsby,190000000,144840419,353640419
11/6/2009,Disney’s A Christmas Carol,190000000,137855863,315709697
7/11/2013,Pacific Rim,190000000,101802906,411002906
11/25/2015,The Good Dinosaur,187500000,123087120,333771037
5/2/2008,Iron Man,186000000,318604126,585171547
7/11/2008,The Dark Knight,185000000,533720947,998615789
5/22/2008,Indiana Jones and the Kingdom of the Crystal Skull,185000000,317101119,786635413
6/21/2012,Brave,185000000,237282182,554606532
2/23/2017,Kong: Skull Island,185000000,168052812,561072059
7/21/2016,Star Trek Beyond,185000000,158848340,335673708
10/17/2019,Maleficent: Mistress of Evil,185000000,113929605,489346495
9/29/2017,Blade Runner 2049,185000000,92054159,258829058
10/25/2019,Terminator: Dark Fate,185000000,62253077,250372367
7/28/2021,The Suicide Squad,185000000,55800219,167250021
5/22/2019,Aladdin,182000000,355559216,1046649706
10/25/2017,Thor: Ragnarok,180000000,315058289,850482778
12/9/2005,The Chronicles of Narnia: The Lion the Witch a…,180000000,291710957,720539572
5/28/2014,Maleficent,180000000,241407328,758536735
11/14/2016,Fantastic Beasts and Where to Find Them,180000000,234037575,811724385
6/27/2008,WALL-E,180000000,223808164,532508025
8/10/2007,Rush Hour 3,180000000,140125968,256585882
6/27/2016,The Legend of Tarzan,180000000,126643061,348902025
11/23/2011,Hugo,180000000,73864507,180047784
7/20/2017,Valerian and the City of a Thousand Planets,180000000,40479370,215098356
2/6/2015,Jupiter Ascending,179000000,47482519,181982519
7/16/2018,Mission: Impossible—Fallout,178000000,220159104,787176729
5/18/2016,X-Men: Apocalypse,178000000,155442489,542537546
8/9/2018,The Meg,178000000,145443742,527370715
5/28/2014,Edge of Tomorrow,178000000,100206256,367028980
3/6/2019,Captain Marvel,175000000,426829839,1129727388
4/7/2016,The Jungle Book,175000000,364001123,953554418
6/12/2015,Inside Out,175000000,356461711,853641066
7/5/2017,Spider-Man: Homecoming,175000000,334201140,880166350
8/2/2016,Suicide Squad,175000000,325100054,745744980
5/28/2009,Up,175000000,293004164,731463377
10/27/2017,Coco,175000000,210460015,797666425
11/21/2018,Ralph Breaks The Internet,175000000,201091711,529290830
3/27/2009,Monsters vs. Aliens,175000000,198351526,381687380
6/16/2017,Cars 3,175000000,152901115,383541369
8/7/2009,G.I. Joe: The Rise of Cobra,175000000,150201498,302469017
6/30/1999,Wild Wild West,175000000,113805681,221229335
8/1/2008,The Mummy: Tomb of the Dragon Emperor,175000000,102491776,405760225
6/22/2007,Evan Almighty,175000000,100289690,174131329
7/28/1995,Waterworld,175000000,88246220,264246220
1/8/2020,Dolittle,175000000,77047065,251409960
5/11/2017,King Arthur: Legend of the Sword,175000000,39175066,139630336
12/6/2013,47 Ronin,175000000,38362475,151716815
6/6/2018,Jurassic World: Fallen Kingdom,170000000,417719760,1308334005
7/31/2014,Guardians of the Galaxy,170000000,333714112,770882395
5/7/2010,Iron Man 2,170000000,312433331,621156389
3/28/2014,Captain America: The Winter Soldier,170000000,259746958,714401889
7/9/2014,Dawn of the Planet of the Apes,170000000,208545589,710644566
11/10/2004,The Polar Express,170000000,188578855,312719437
5/30/2012,Snow White and the Huntsman,170000000,155136755,401021746
7/1/2003,Terminator 3: Rise of the Machines,170000000,150358296,433058296
5/5/2004,Van Helsing,170000000,120150546,300150546
3/27/2019,Dumbo,170000000,114766307,353166307
5/29/2019,Godzilla: King of the Monsters,170000000,110500138,383299915
5/20/2015,Tomorrowland,170000000,93436322,206627518
2/1/2019,Alita: Battle Angel,170000000,85838210,401900040
5/20/2016,Alice Through the Looking Glass,170000000,77042381,276928112
5/21/2010,Shrek Forever After,165000000,238736787,756244673
10/24/2016,Doctor Strange,165000000,232641920,676354481
10/25/2014,Big Hero 6,165000000,222527828,649657407
3/26/2010,How to Train Your Dragon,165000000,217581232,494870992
11/1/2012,Wreck-It Ralph,165000000,189412677,496511521
11/5/2014,Interstellar,165000000,188017894,651994868
9/15/2021,Dune,165000000,105010871,383110871
6/22/2016,Independence Day: Resurgence,165000000,103144286,384169424
7/29/2011,Cowboys and Aliens,163000000,100368560,176038324
3/16/2017,Beauty and the Beast,160000000,504014165,1253802559
6/27/2019,Spider-Man: Far From Home,160000000,390532085,1131113066
12/6/2018,Aquaman,160000000,335061807,1143758700
5/17/2007,Shrek the Third,160000000,322719944,807330936
7/16/2010,Inception,160000000,292576195,728582465
11/18/2015,The Hunger Games: Mockingjay - Part 2,160000000,281723902,648986787
5/17/2013,Fast and Furious 6,160000000,238679850,789300444
5/14/2014,Godzilla,160000000,200676069,529076069
6/3/2011,X-Men: First Class,160000000,146408305,355408305
12/25/2008,The Curious Case of Benjamin Button,160000000,127509326,329631958
7/14/2010,The Sorcerer's Apprentice,160000000,63150991,217986320
5/12/2006,Poseidon,160000000,60674817,181674817
5/25/2016,Warcraft,160000000,47365290,438899824
11/1/2019,The Irishman,159000000,0,910234
9/29/2016,Deepwater Horizon,156000000,61433527,122603824
12/10/2010,The Chronicles of Narnia: The Voyage of the Daw…,155000000,104386950,418186950
3/25/2021,Godzilla vs. Kong,155000000,100563133,467826620
6/24/2015,Terminator: Genisys,155000000,89760956,432150894
3/16/2018,Pacific Rim: Uprising,155000000,59874525,290930148
11/24/2004,Alexander,155000000,34297191,167297191
7/14/2017,War for the Planet of the Apes,152000000,146880162,489592267
5/25/2001,Pearl Harbor,151500000,198539855,449239853
7/2/2007,Transformers,151000000,319246193,708272592
11/20/2019,Frozen II,150000000,477373578,1445182280
5/29/2017,Wonder Woman,150000000,412563408,818058221
11/22/2013,Frozen,150000000,400953009,1265767173
2/10/2016,Zootopia,150000000,341268248,1004629935
7/11/2007,Harry Potter and the Order of the Phoenix,150000000,292137260,940043931
11/18/2005,Harry Potter and the Goblet of Fire,150000000,290201752,887070413
5/15/2003,The Matrix Reloaded,150000000,281553689,738576929
12/14/2007,I am Legend,150000000,256393010,585532684
1/27/2016,Moana,150000000,248757044,634965560
7/1/2008,Hancock,150000000,227946274,624234272
9/1/2021,Shang-Chi and the Legend of the Ten Rings,150000000,224543292,418148439
7/15/2005,Charlie and the Chocolate Factory,150000000,206459076,475825484
6/29/2007,Ratatouille,150000000,206445654,626549695
10/30/2013,Thor: The Dark World,150000000,206362140,644602516
6/15/2005,Batman Begins,150000000,205343774,358858124
7/29/2015,Mission: Impossible—Rogue Nation,150000000,195042377,688858992
7/18/2017,Dunkirk,150000000,190068280,519452014
4/29/2011,Thor,150000000,181030624,449326618
11/7/2008,Madagascar: Escape 2 Africa,150000000,180174880,599680774
5/1/2009,X-Men Origins: Wolverine,150000000,179883157,374825760
5/22/2009,Night at the Museum: Battle of the Smithsonian,150000000,177243721,402231063
5/26/2011,Kung Fu Panda 2,150000000,165249063,664837547
5/14/2015,Mad Max: Fury Road,150000000,153636354,367457874
5/3/2019,Pokémon: Detective Pikachu,150000000,144105346,431482976
11/5/2003,The Matrix Revolutions,150000000,139270910,427300260
3/20/2018,Ready Player One,150000000,137690172,579055653
11/4/2005,Chicken Little,150000000,135386665,310043823
5/5/2006,Mission: Impossible III,150000000,133501348,399387745
5/15/2009,Angels & Demons,150000000,133375846,490875846
5/13/2004,Troy,150000000,133298577,483152040
7/1/2010,The Last Airbender,150000000,131772187,319713881
11/2/2007,Bee Movie,150000000,126631277,287594577
7/24/2009,G-Force,150000000,119436770,292817841
11/21/2008,Bolt,150000000,114053579,328015029
3/28/2012,Wrath of the Titans,150000000,83670083,305270083
11/16/2007,Beowulf,150000000,82280579,195080579
5/9/2012,Dark Shadows,150000000,79727149,238202668
6/28/2013,White House Down,150000000,73103784,205440387
7/14/2021,Space Jam: A New Legacy,150000000,70528072,144032083
2/12/2010,The Wolfman,150000000,62189884,142634358
12/15/2016,The Great Wall,150000000,45157105,334486852
9/25/2015,Pan,150000000,35088320,151525973
3/11/2011,Mars Needs Moms,150000000,21392758,39549758
11/4/2021,Red Notice,150000000,0,173638
2/3/2022,Moonfall,150000000,0,0
11/3/2006,Flushed Away,149000000,64665672,179357126
6/8/2012,Madagascar 3: Europe's Most Wanted,145000000,216391482,746921271
12/14/2011,Mission: Impossible—Ghost Protocol,145000000,209397903,694713230
6/5/2014,How to Train Your Dragon 2,145000000,177002924,614586270
6/16/1999,Tarzan,145000000,171091819,448191819
2/20/2014,Mr. Peabody & Sherman,145000000,111506430,269806430
11/20/2012,Rise of the Guardians,145000000,103412758,306900902
4/8/2005,Sahara,145000000,68671925,121645390
7/13/2016,Ghostbusters,144000000,128350574,229008658
11/22/2002,Die Another Day,142000000,160942139,431942139
7/9/2003,Pirates of the Caribbean: The Curse of the Blac…,140000000,305410819,654310819
5/8/2009,Star Trek,140000000,257730019,386839614
7/1/1998,Armageddon,140000000,201578182,554600000
7/3/2002,Men in Black 2,140000000,190418803,441767803
7/22/2011,Captain America: The First Avenger,140000000,176654505,370569776
1/23/2016,Kung Fu Panda 3,140000000,143528619,521170825
7/10/1998,Lethal Weapon 4,140000000,130444603,285400000
3/27/2013,G.I. Joe: Retaliation,140000000,122523060,375740705
12/5/2003,The Last Samurai,140000000,111110575,456810575
12/21/2005,Fun With Dick And Jane,140000000,110550000,203018919
12/5/2014,Exodus: Gods and Kings,140000000,65014513,268314513
6/30/2016,The BFG,140000000,55483770,199646680
10/3/2019,Gemini Man,140000000,48546770,166623705
2/24/2016,Gods of Egypt,140000000,31153464,138836756
5/27/2022,Top Gun: Maverick,140000000,0,0
5/3/2002,Spider-Man,139000000,403706375,821706375
3/6/2009,Watchmen,138000000,107509799,186976250
7/29/2005,Stealth,138000000,32116746,76416746
6/13/2008,The Incredible Hulk,137500000,134806913,265573859
6/20/2003,Hulk,137000000,132177234,245031679
7/11/2001,Final Fantasy: The Spirits Within,137000000,32131830,85131830
11/14/2012,The Twilight Saga: Breaking Dawn Part 2,136200000,292324737,829724737
3/15/2013,The Croods,135000000,187168425,573068425
12/25/2015,The Revenant,135000000,183637894,532938302
11/19/1999,The World is Not Enough,135000000,126930660,361730660
3/4/2011,Rango,135000000,123477607,245724600
11/14/2003,Master and Commander: The Far Side of the World,135000000,93926386,212912137
7/17/2013,Turbo,135000000,83028130,286896578
6/2/2016,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,82051601,245328374
11/18/2011,Happy Feet Two,135000000,64006466,157956466
7/28/2006,Miami Vice,135000000,63478838,164920076
10/31/2018,The Nutcracker and the Four Realms,132900000,54858851,170024300
6/24/2005,War of the Worlds,132000000,234280354,606836535
11/26/2014,Penguins of Madagascar,132000000,83350911,366942531
11/15/2013,The Hunger Games: Catching Fire,130000000,424668047,864868047
5/31/2004,Harry Potter and the Prisoner of Azkaban,130000000,249757726,789592708
8/3/2007,The Bourne Ultimatum,130000000,227471070,444043396
7/3/2018,Ant-Man and the Wasp,130000000,216648740,623144660
6/6/2008,Kung Fu Panda,130000000,215434591,631910531
7/14/2015,Ant-Man,130000000,180202163,518858449
3/19/2015,Home,130000000,177397510,385997896
12/19/2018,Mary Poppins Returns,130000000,171958438,348901032
10/28/2011,Puss in Boots,130000000,149260504,554987477
11/5/2010,Megamind,130000000,148415853,321887208
7/18/2003,Bad Boys II,130000000,138540870,273271982
3/20/2014,Rio 2,130000000,131538435,492846291
7/23/2010,Salt,130000000,118311368,290650494
3/27/2014,Noah,130000000,101200044,352831065
10/28/2011,The Adventures of Tintin,130000000,77591831,373993951
5/31/2013,After Earth,130000000,60522097,251499665
11/26/2008,Australia,130000000,49554002,215080810
7/19/2013,R.I.P.D.,130000000,33618855,79076678
1/3/2019,How to Train Your Dragon: The Hidden World,129000000,160799505,522747474
11/18/2011,The Twilight Saga: Breaking Dawn Part 1,127500000,281287133,689420051
5/19/2000,Dinosaur,127500000,137748063,356148063
2/23/2017,Logan,127000000,226277068,614202315
12/18/2014,Night at the Museum: Secret of the Tomb,127000000,113746621,353756621
7/13/2011,Harry Potter and the Deathly Hallows: Part II,125000000,381193157,1333857729
11/19/2014,The Hunger Games: Mockingjay - Part 1,125000000,337135885,766575131
11/15/2001,Harry Potter and the Sorcerer’s Stone,125000000,317871467,965054122
12/4/2019,Jumanji: The Next Level,125000000,316831246,798332900
11/17/2010,Harry Potter and the Deathly Hallows: Part I,125000000,296131568,955371891
5/19/2006,The Da Vinci Code,125000000,217536138,767820459
4/30/2003,X-Men 2,125000000,214949694,406348630
4/21/2011,Fast Five,125000000,210031325,630163454
8/8/2014,Teenage Mutant Ninja Turtles,125000000,191204754,485004754
12/16/2011,Sherlock Holmes: A Game of Shadows,125000000,186848418,535663443
5/27/2004,The Day After Tomorrow,125000000,186740799,555840117
3/17/2017,The Boss Baby,125000000,175003033,527965936
4/1/2010,Clash of the Titans,125000000,163214888,493214888
10/12/2016,Trolls,125000000,153707064,343242613
5/19/1998,Godzilla,125000000,136314294,376000000
5/30/2012,Prometheus,125000000,126477084,402448265
8/10/2012,The Bourne Legacy,125000000,113203870,280355920
6/20/1997,Batman & Robin,125000000,107325195,238317814
7/5/2018,Skyscraper,125000000,68420120,304868961
1/3/2020,The Call of the Wild,125000000,62342368,107360936
8/3/2012,Total Recall,125000000,58877969,211856088
12/21/2016,Assassin’s Creed,125000000,54647948,240759682
12/29/2016,Monster Trucks,125000000,33370166,61642798
8/27/1999,The 13th Warrior,125000000,32698899,61698899
11/17/2000,How the Grinch Stole Christmas,123000000,260348825,345445403
5/24/2000,Mission: Impossible 2,120000000,215409889,549588516
6/30/2000,The Perfect Storm,120000000,182618434,328711434
7/20/2016,Jason Bourne,120000000,162192920,416168316
6/15/2007,Fantastic Four: Rise of the Silver Surfer,120000000,131921738,289480691
11/21/2012,Life of Pi,120000000,124987022,619310368
2/16/2007,Ghost Rider,120000000,115802596,229545589
4/9/2018,Rampage,120000000,101028233,427947217
6/27/2003,Charlie's Angels: Full Throttle,120000000,100814328,227163273
8/9/2013,Elysium,120000000,93050117,286192091
4/19/2013,Oblivion,120000000,89107235,287916633
3/24/2017,Power Rangers,120000000,85364450,142531552
7/19/2002,Stuart Little 2,120000000,64956806,166000000
2/12/2014,RoboCop,120000000,58607007,242981799
6/11/2004,The Chronicles of Riddick,120000000,57712751,107212751
8/5/2015,The Fantastic Four,120000000,56117548,167849187
5/9/2008,Speed Racer,120000000,43945766,93394462
7/22/2005,The Island,120000000,35818913,163018913
12/17/2010,How Do You Know?,120000000,30212620,49628177
6/23/2010,Knight and Day,117000000,76423035,258751370
1/25/2021,Tang Ren Jie Tan An 3,117000000,0,699084069
10/2/2018,Venom,116000000,213511408,853530899
5/19/1999,Star Wars Ep. I: The Phantom Menace,115000000,474544677,1027044677
5/19/2005,Star Wars Ep. III: Revenge of the Sith,115000000,380270577,848998877
5/16/2002,Star Wars Ep. II: Attack of the Clones,115000000,310676740,656695615
11/2/2001,Monsters Inc.,115000000,290149425,560483719
7/26/2013,The Wolverine,115000000,132556852,416456852
2/7/1997,Dante’s Peak,115000000,67163857,178200000
4/6/2016,The Huntsman: Winter’s War,115000000,48003015,165149302
6/14/2002,Windtalkers,115000000,40914068,77628265
7/4/2008,Astérix aux Jeux Olympiques,113500000,999811,132999811
12/24/2010,Gulliver's Travels,112000000,42779261,232017848
12/8/2017,Ferdinand,111000000,84410380,289838913
5/11/2018,Deadpool 2,110000000,324591735,786362370
10/3/2013,Gravity,110000000,274092705,688214291
12/22/2006,Night at the Museum,110000000,250863268,579446407
9/30/2021,Venom: Let There be Carnage,110000000,211047187,482241132
6/10/2005,Mr. and Mrs. Smith,110000000,186336279,486124090
5/27/2015,San Andreas,110000000,155190832,456258539
7/29/2011,The Smurfs,110000000,142614158,563749323
6/27/2007,Live Free or Die Hard,110000000,134529403,382288147
3/18/2015,The Divergent Series: Insurgent,110000000,130179072,295075882
12/10/2004,Ocean's Twelve,110000000,125531634,362989076
12/19/1997,Tomorrow Never Dies,110000000,125304276,339504276
6/28/2000,The Patriot,110000000,113330342,215300000
3/7/2014,300: Rise of an Empire,110000000,106580051,330780051
12/17/2004,The Aviator,110000000,102608827,208370892
12/21/2016,Passengers,110000000,100014699,302239672
1/14/2011,The Green Hornet,110000000,98780042,229155503
9/21/2016,Miss Peregrine’s Home for Peculiar Children,110000000,87242834,295986876
10/7/2011,Real Steel,110000000,85463309,263880341
6/12/2019,Men in Black: International,110000000,80001807,253020464
6/11/2010,The A-Team,110000000,77222099,177241171
7/31/2013,The Smurfs 2,110000000,71017784,348547523
3/9/2016,The Divergent Series: Allegiant,110000000,66184051,172022517
6/12/2009,The Taking of Pelham 123,110000000,65452312,152364370
10/25/2013,Ender's Game,110000000,61737191,127983283
4/2/2004,Home on the Range,110000000,50026353,76482461
6/13/1997,Speed 2: Cruise Control,110000000,48097081,150468000
5/6/2005,Kingdom of Heaven,110000000,47398413,218674938
3/23/2017,Ghost in the Shell,110000000,40563557,167910690
6/16/2004,Around the World in 80 Days,110000000,24004159,72004159
11/21/2003,The Cat in the Hat,109000000,101018283,133818283
12/25/2001,Ali,109000000,58183966,87683966
9/30/2015,The Martian,108000000,228433663,655111538
11/20/2016,Allied,106000000,40098064,119266661
7/16/2004,I Robot,105000000,144801023,348629585
12/17/1999,Stuart Little,105000000,140015224,298815224
11/25/2009,The Princess and the Frog,105000000,104400899,270997378
3/7/2008,10000 B.C.,105000000,94784201,269065678
7/1/2016,Ice Age: Collision Course,105000000,64063008,402156682
4/27/2001,Town & Country,105000000,6712451,10364769
9/19/2017,Kingsman: The Golden Circle,104000000,100234838,408803696
6/9/2000,Gone in 60 Seconds,103300000,101643008,232643008
5/4/2000,Gladiator,103000000,187683805,456435588
5/23/2013,The Hangover 3,103000000,112200072,362000072
3/9/2018,A Wrinkle in Time,103000000,100478608,133214549
7/1/2009,Public Enemies,102500000,97104620,212282709
11/17/2006,Casino Royale,102000000,167365000,594420283
6/21/2002,Minority Report,102000000,132024714,358824714
12/13/2018,Bumblebee,102000000,127195589,465195589
10/26/2012,Cloud Atlas,102000000,27108272,130673154
11/15/2002,Harry Potter and the Chamber of Secrets,100000000,262233381,875262553
7/2/1991,Terminator 2: Judgment Day,100000000,203464105,515390883
6/16/1995,Batman Forever,100000000,184031112,336529144
7/27/2001,Planet of the Apes,100000000,180011740,362211740
11/19/2004,National Treasure,100000000,173005002,331323410
12/25/2012,Django Unchained,100000000,162805434,449841566
12/25/2019,1917,100000000,159227644,370603379
12/22/2010,Little Fockers,100000000,148438600,310650574
7/15/1994,True Lies,100000000,146282411,365300000
11/2/2007,American Gangster,100000000,130164645,267985456
9/18/2009,Cloudy with a Chance of Meatballs,100000000,124870275,236827677
8/6/2010,The Other Guys,100000000,119219978,170936470
12/17/2004,Lemony Snicket's A Series of Unfortunate Events,100000000,118627117,212956024
12/25/2013,The Wolf of Wall Street,100000000,116949183,389918903
5/24/2013,Epic,100000000,107518682,262794441
6/21/1996,Eraser,100000000,101295562,234400000
6/21/1996,The Hunchback of Notre Dame,100000000,100138851,325500000
12/15/2000,The Emperor's New Groove,100000000,89630573,169630573
8/15/2012,The Expendables 2,100000000,85028192,311979256
10/16/2009,Where the Wild Things Are,100000000,77233467,99123656
12/15/2006,Eragon,100000000,75030163,249488115
7/23/2014,Hercules,100000000,72688614,243388614
12/10/2010,The Tourist,100000000,67631157,278731369
11/24/1999,End of Days,100000000,66889043,212026975
12/25/2019,Spies in Disguise,100000000,66757013,165138481
6/11/2004,The Stepford Wives,100000000,59475623,96150482
6/8/2007,Surf’s Up,100000000,58867694,145395745
12/8/2006,Blood Diamond,100000000,57377916,171377916
11/7/2019,Midway,100000000,56846802,126829063
9/24/2010,Legend of the Guardians: The Owls of Ga'Hoole,100000000,55675313,139716717
11/7/1997,Starship Troopers,100000000,54768952,121100000
6/5/2009,Land of the Lost,100000000,49438370,69548641
12/18/2003,Peter Pan,100000000,48417850,95255485
3/15/2019,Wonder Park,100000000,45216793,115112118
7/23/2004,Catwoman,100000000,40202379,82078046
8/14/2014,The Expendables 3,100000000,39322544,209461378
11/27/2002,Treasure Planet,100000000,38120554,91800000
3/12/2010,Green Zone,100000000,35497337,97523020
10/13/2017,Geostorm,100000000,33700160,220796009
12/2/2015,Point Break,100000000,28782481,126704591
12/17/2019,Cats,100000000,27166770,75486351
11/26/2015,In the Heart of the Sea,100000000,25020758,89693309
4/18/2014,Transcendence,100000000,23022309,103039258
2/18/2005,Son of the Mask,100000000,17018422,59918422
12/5/2018,Mortal Engines,100000000,15951040,85480271
2/3/2021,Chaos Walking,100000000,13287908,26943020
10/13/2021,The Last Duel,100000000,10853945,29690034
8/16/2002,The Adventures of Pluto Nash,100000000,4411102,7094995
1/20/2012,Jin líng shí san chai,100000000,311434,98227017
6/12/2020,Artemis Fowl,100000000,0,0
12/8/2021,West Side Story,100000000,0,0
11/5/2015,The Peanuts Movie,99000000,130178411,250091610
2/6/2019,The LEGO Movie 2: The Second Part,99000000,105806508,190131036
11/21/2018,Robin Hood,99000000,30824628,85210012
5/4/2001,The Mummy Returns,98000000,202007640,435040395
11/14/2019,Ford v. Ferrari,97600000,117624357,224418748
12/20/2002,Gangs of New York,97000000,77730500,183124621
5/4/2017,Alien: Covenant,97000000,74262031,238521247
3/6/2015,Cinderella,95000000,201151353,542351353
6/27/2012,Ice Age: Continental Drift,95000000,161321843,879765137
12/28/2001,Black Hawk Down,95000000,108638745,159691085
5/27/2010,Sex and the City 2,95000000,95347692,294680778
2/12/2010,Percy Jackson & the Olympians: The Lightning Thief,95000000,88768303,223050874
8/10/2012,The Campaign,95000000,86907746,104907746
11/12/2010,Unstoppable,95000000,81562942,165720921
5/9/1997,The Fifth Element,95000000,63570862,263893960
3/31/2000,The Road to El Dorado,95000000,50802661,65700000
12/11/2009,The Lovely Bones,95000000,44114232,94894448
6/30/2016,Ben-Hur,95000000,26410477,91669648
12/19/2014,Seventh Son,95000000,17725785,108874967
5/30/2003,Finding Nemo,94000000,380529370,936094852
12/17/2003,The Lord of the Rings: The Return of the King,94000000,377845905,1120214046
12/18/2002,The Lord of the Rings: The Two Towers,94000000,342548984,919148764
6/15/2001,Lara Croft: Tomb Raider,94000000,131144183,273330185
1/29/2015,Kingsman: The Secret Service,94000000,128261724,404561724
12/19/2001,The Lord of the Rings: The Fellowship of the Ring,93000000,315544750,891216824
7/18/2001,Jurassic Park III,93000000,181166115,365900000
8/5/2011,Rise of the Planet of the Apes,93000000,176760185,470986200
2/14/2008,The Spiderwick Chronicles,92500000,71195053,162839667
10/22/2004,The Incredibles,92000000,261441092,631441092
2/6/2013,A Good Day to Die Hard,92000000,67349198,304249198
4/9/2004,The Alamo,92000000,22406362,23911362
12/22/1995,Cutthroat Island,92000000,10017322,18517322
12/19/2013,The Secret Life of Walter Mitty,91000000,58236838,187861183
12/20/2017,Jumanji: Welcome to the Jungle,90000000,404508916,961613199
7/1/1997,Men in Black,90000000,250690539,587790539
11/19/1999,Toy Story 2,90000000,245852179,511358276
